no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,0,0,2,1,0,1,32,11,0,0,0,0,73.0,0,0
2,0,0,1,2,0,1,55,4,0,0,0,0,104.0,0,0
2,0,0,4,0,0,1,57,11,1,0,0,0,79.2,1,0
1,0,1,3,1,0,4,7,12,1,0,0,0,125.8,2,0
1,0,2,5,0,0,1,124,5,1,0,0,0,87.95,0,0
2,0,2,2,2,0,1,169,4,1,0,0,0,106.0,0,1
1,0,1,2,1,0,1,6,5,1,0,0,0,136.67,1,0
2,0,0,4,1,0,4,51,11,0,0,0,0,60.0,1,0
2,0,1,0,0,0,1,13,6,1,0,0,0,89.0,2,0
2,0,1,3,1,0,1,100,5,1,0,0,0,136.0,1,0
2,0,0,1,0,0,1,139,7,1,0,0,0,94.5,1,0
2,0,1,2,1,0,1,117,12,1,0,0,0,93.6,2,0
2,0,1,4,1,0,4,39,4,1,0,0,0,120.6,0,1
2,0,0,3,1,0,4,86,4,1,0,0,0,99.3,1,0
2,2,0,1,1,1,6,2,9,1,0,0,0,258.0,1,0
1,0,0,3,1,0,4,19,5,1,0,0,0,120.12,2,0
1,0,0,2,1,0,1,192,6,0,0,0,0,95.0,0,0
1,0,0,1,1,0,1,2,9,4,0,0,0,0.0,1,0
2,0,2,1,1,0,1,86,12,0,0,0,0,75.0,0,0
2,0,0,3,1,0,4,30,10,1,0,0,0,157.5,2,0
2,0,0,2,1,0,4,179,6,1,0,0,0,97.7,1,0
2,0,0,2,1,0,4,26,4,1,0,0,0,142.0,0,1
2,0,0,1,1,0,1,55,4,0,0,0,0,80.0,0,0
2,0,1,2,1,0,1,74,4,1,0,0,0,85.5,1,0
2,0,0,3,1,0,1,143,8,0,0,0,0,100.0,0,0
2,0,1,0,0,0,1,34,11,1,0,0,0,88.0,2,0
2,0,1,1,1,1,1,30,8,1,0,0,0,122.85,1,0
2,0,0,2,1,0,1,177,6,1,0,0,0,100.0,0,1
2,0,2,3,1,0,4,34,10,0,0,0,0,75.0,0,0
2,0,1,4,1,0,4,18,3,1,0,0,0,116.8,1,0
3,0,1,1,1,0,4,267,12,1,0,0,0,121.5,0,0
2,0,1,2,1,0,1,64,6,1,0,0,0,111.9,1,0
3,0,2,5,1,0,4,155,6,1,0,0,0,121.55,2,1
2,0,0,5,1,0,1,46,3,0,0,0,0,75.0,1,0
2,2,0,2,1,0,6,83,4,1,0,0,0,159.3,0,1
2,0,0,5,1,0,4,128,10,1,0,0,0,132.3,0,1
2,0,2,0,0,0,1,20,12,1,0,0,0,88.0,2,0
2,0,1,4,1,0,4,40,3,1,0,0,0,98.82,0,0
2,0,1,2,1,1,4,46,3,1,0,0,0,98.3,1,0
1,0,1,0,1,0,1,1,10,1,0,0,0,150.0,2,0
2,0,2,3,0,0,1,196,9,1,0,0,0,96.05,1,0
1,0,0,2,1,0,1,188,6,1,0,0,0,130.0,0,1
2,0,0,1,0,0,1,17,12,1,1,0,5,95.0,0,0
2,0,0,3,1,0,5,146,8,0,0,0,0,113.56,0,0
2,0,1,3,0,0,1,110,5,1,0,0,0,101.58,1,0
2,0,1,2,1,1,1,68,3,1,0,0,0,105.3,0,0
2,0,2,1,1,0,4,73,4,1,0,0,0,115.8,1,0
2,0,0,1,1,0,4,92,5,1,0,0,0,149.4,1,0
2,0,2,5,1,0,1,171,8,1,0,0,0,111.59,0,1
2,1,0,2,1,1,1,134,8,1,0,0,0,130.5,2,0
2,0,0,2,2,0,1,320,8,1,0,0,0,115.0,1,1
2,0,0,4,1,0,1,118,4,1,0,0,0,90.95,1,0
2,0,0,3,1,0,1,30,11,1,0,0,0,76.08,1,0
2,2,1,3,1,0,6,30,12,1,0,0,0,156.9,0,0
2,0,1,0,0,0,1,189,10,1,0,0,0,85.5,2,0
3,0,1,2,1,0,4,55,5,1,0,0,0,159.3,2,0
1,0,0,4,1,0,1,55,12,1,0,0,0,74.8,2,0
2,0,0,1,1,0,1,16,10,1,0,0,0,95.0,1,0
2,0,0,3,1,0,1,24,10,1,0,0,0,107.0,1,0
2,0,0,3,1,0,1,8,2,0,0,0,0,64.0,0,0
2,0,1,4,1,1,1,10,11,1,0,0,0,82.95,0,0
2,0,1,3,1,0,4,0,9,1,0,0,0,155.0,1,0
2,0,0,1,0,0,1,12,6,1,0,0,0,101.68,1,0
2,0,2,1,1,0,1,32,9,1,0,0,0,94.5,3,0
2,0,0,2,1,0,1,182,9,1,0,0,0,117.9,2,1
2,0,1,0,0,0,1,1,6,1,0,0,0,127.0,1,0
2,0,0,3,0,0,1,122,6,1,0,0,0,116.1,2,0
2,0,2,3,1,0,1,40,6,1,0,0,0,117.9,1,0
2,2,2,2,1,0,2,116,6,1,0,0,0,184.24,1,1
3,0,2,2,1,1,4,123,8,1,0,0,0,155.7,1,0
3,0,2,5,1,0,4,40,4,1,0,0,0,135.76,0,1
2,1,2,5,1,0,1,105,11,1,0,0,0,102.83,3,0
2,0,0,1,1,0,1,443,4,1,0,0,0,65.0,0,1
2,0,2,3,1,0,1,2,11,1,0,0,0,103.0,1,0
2,0,0,3,1,0,1,317,9,1,0,0,0,106.2,1,1
2,0,0,2,2,0,1,286,9,0,0,0,0,58.5,0,0
2,0,1,3,1,0,1,68,3,1,0,0,0,73.95,0,1
2,0,0,3,1,0,1,148,5,1,0,0,0,105.3,0,0
3,0,2,0,1,0,4,68,4,1,0,0,0,133.2,2,0
2,0,0,2,1,0,1,30,3,0,0,0,0,85.5,0,0
1,0,0,1,1,0,1,14,11,1,0,0,0,112.0,1,1
2,2,0,2,1,0,6,110,10,1,0,0,0,190.8,0,1
1,0,2,3,1,0,1,117,6,0,0,0,0,110.0,0,0
2,0,1,4,1,0,4,85,7,1,0,0,0,91.48,1,0
2,0,0,2,0,0,1,1,10,1,0,0,0,135.0,2,0
1,0,1,2,1,0,1,25,10,1,0,0,0,129.0,2,0
2,0,2,4,0,0,1,289,12,1,0,0,0,70.55,2,1
2,0,1,4,1,0,4,28,10,0,0,0,0,75.0,0,0
1,0,0,4,0,0,1,80,3,1,0,0,0,72.25,0,0
2,0,0,1,1,0,4,11,10,1,0,0,0,155.0,2,0
2,1,1,0,1,0,1,162,7,1,0,0,0,121.5,2,1
2,0,2,5,1,0,1,155,6,1,0,0,0,90.95,2,0
1,0,2,2,1,0,1,82,5,1,0,0,0,109.65,0,0
3,0,2,4,1,0,4,27,4,1,0,0,0,142.72,0,1
1,0,1,2,1,0,1,13,5,0,0,0,0,90.0,0,0
2,0,0,2,1,0,1,245,6,1,0,0,0,75.0,0,1
2,0,0,2,1,0,1,11,11,1,0,0,0,111.0,1,1
2,0,2,2,1,0,1,266,10,1,0,0,0,86.7,2,0
2,0,1,0,1,0,1,39,3,1,0,0,0,117.9,1,0
1,0,0,2,1,0,1,13,6,4,1,3,5,0.0,1,0
2,0,0,4,0,0,1,112,5,1,0,0,0,101.58,1,0
2,0,1,2,0,0,1,88,4,1,0,0,0,58.9,1,0
2,0,0,1,1,0,1,56,6,0,0,0,0,120.0,0,0
2,0,2,3,1,0,4,73,4,1,0,0,0,107.1,0,1
2,0,1,1,1,0,1,80,5,1,0,0,0,126.9,1,0
2,0,0,3,1,0,4,130,9,1,0,0,0,139.5,2,1
2,0,1,3,0,0,1,69,4,1,0,0,0,80.75,1,0
2,0,0,2,2,0,1,273,7,1,0,0,0,109.0,0,1
2,0,0,1,2,0,1,55,4,0,0,0,0,104.0,0,0
1,0,0,3,1,0,1,4,11,2,1,1,5,65.0,1,0
2,0,0,3,1,0,4,97,5,1,0,0,0,140.4,0,0
2,0,0,3,1,0,1,44,2,0,0,0,0,75.0,0,0
2,0,0,1,0,0,1,31,4,1,0,0,0,94.5,0,1
2,0,1,0,0,0,1,0,6,1,0,0,0,109.0,0,0
2,0,2,2,1,0,1,62,11,1,0,0,0,105.0,2,0
2,0,2,2,1,0,4,86,4,1,0,0,0,107.95,1,0
3,0,2,2,1,0,7,3,10,1,0,0,0,215.6,1,0
2,0,1,1,0,0,1,197,8,1,0,0,0,85.5,1,0
2,0,0,2,1,0,1,143,7,1,0,0,0,105.3,2,0
1,0,2,1,2,0,1,23,1,1,0,0,0,1.0,0,0
2,0,0,2,1,0,4,8,6,1,0,0,0,156.0,0,1
1,0,0,2,1,0,1,13,11,1,0,0,0,73.15,1,0
2,0,1,2,1,0,1,280,9,1,0,0,0,110.0,0,1
2,1,1,0,0,0,1,11,9,1,0,0,0,87.4,1,0
2,0,0,2,1,0,1,317,9,1,0,0,0,120.0,0,1
2,0,1,2,0,0,1,185,12,1,0,0,0,79.2,0,1
2,0,1,3,1,0,1,160,6,1,0,0,0,90.95,1,0
2,0,0,4,1,0,1,104,10,1,0,0,0,91.48,1,0
2,1,0,1,1,0,1,11,11,1,0,0,0,150.0,1,1
2,0,0,1,0,0,1,2,3,1,0,0,0,89.0,0,0
2,0,1,4,0,0,1,14,8,1,0,0,0,91.43,1,0
2,0,0,2,1,0,1,22,5,0,0,0,0,140.0,0,0
1,1,2,5,0,0,1,37,10,1,0,0,0,87.78,0,0
2,0,0,2,2,0,1,292,7,1,0,0,0,115.0,0,1
2,0,0,3,1,0,1,11,9,1,0,0,0,80.85,1,0
2,0,1,3,1,0,1,86,3,1,0,0,0,82.45,1,0
2,0,0,1,0,0,1,109,10,1,0,0,0,108.0,0,1
2,0,1,1,1,0,4,72,4,1,0,0,0,96.3,1,0
2,0,1,5,1,0,1,196,8,1,0,0,0,99.45,0,1
2,0,0,2,1,0,4,56,5,1,0,0,0,140.4,1,0
2,0,1,3,1,0,1,189,8,0,0,0,0,72.25,0,0
2,0,1,4,1,0,4,126,8,1,0,0,0,126.0,0,0
2,0,2,3,1,0,1,303,8,1,0,0,0,78.0,0,1
1,0,2,2,1,0,4,81,11,1,0,0,0,146.6,1,0
2,0,1,2,1,0,1,54,10,1,0,0,0,118.8,0,1
1,0,0,1,1,0,1,15,10,1,0,0,0,145.0,0,1
2,0,0,4,1,0,1,86,4,1,0,0,0,84.58,0,1
2,0,1,2,2,0,1,161,3,1,0,0,0,130.0,0,1
2,0,4,10,1,0,4,147,8,1,0,0,0,118.88,1,1
2,0,1,2,1,0,1,92,5,0,0,0,0,101.52,0,0
2,0,0,1,1,0,1,87,9,2,0,0,0,100.0,0,1
2,0,2,1,1,0,1,109,3,0,0,0,0,58.0,0,0
2,0,0,4,1,0,1,127,3,0,0,0,0,61.5,2,0
2,0,1,2,2,0,1,418,9,1,0,0,0,107.0,0,1
2,0,1,4,0,0,1,156,8,1,0,0,0,87.3,1,0
2,0,0,2,1,0,1,80,7,1,0,0,0,76.5,1,1
2,0,2,2,0,0,1,211,12,1,0,0,0,63.75,0,1
2,0,1,2,1,0,1,273,5,1,0,0,0,95.0,0,1
2,0,2,1,1,0,1,58,11,0,0,0,0,75.0,1,0
2,0,0,3,1,0,1,433,9,1,0,0,0,70.0,0,1
2,0,1,3,1,0,1,111,5,1,0,0,0,101.58,1,0
2,0,2,3,1,0,1,34,8,0,0,0,0,85.0,0,0
2,0,2,4,1,0,1,17,12,1,0,0,0,98.39,0,0
1,0,0,0,1,0,1,4,2,4,0,0,0,0.0,1,0
2,0,0,3,1,0,1,6,9,1,0,0,0,106.07,1,0
2,0,1,1,1,0,1,32,7,0,0,0,0,105.0,1,0
2,0,0,1,1,0,1,4,9,1,0,0,0,145.0,2,0
3,0,2,1,1,0,1,195,8,1,0,0,0,106.03,1,1
2,0,2,2,1,0,1,119,8,1,0,0,0,114.3,1,0
1,0,1,1,0,0,1,13,12,1,0,0,0,88.0,0,0
2,0,0,2,1,0,1,59,10,1,0,0,0,89.25,2,0
2,1,2,5,1,0,4,78,3,1,0,0,0,86.32,1,0
2,0,0,3,1,0,1,335,10,0,0,0,0,90.0,1,0
2,0,2,5,1,0,1,103,8,1,0,0,0,55.96,0,0
1,0,0,2,0,0,1,0,6,1,0,0,0,109.0,1,0
2,0,0,1,1,0,1,118,3,0,0,0,0,86.0,0,0
2,0,1,5,1,0,1,56,9,1,0,0,0,118.95,0,0
2,0,0,2,1,0,1,107,6,0,0,0,0,130.0,1,0
2,0,1,3,0,0,1,70,4,1,0,0,0,90.56,1,0
2,0,0,2,1,0,1,76,4,1,0,0,0,87.3,1,0
2,2,2,2,1,0,6,144,5,1,0,0,0,177.65,1,1
1,2,2,2,1,0,6,4,9,1,0,0,0,200.75,2,0
2,1,0,2,1,0,1,15,3,1,0,0,0,127.0,1,0
1,0,1,2,1,0,1,32,2,1,0,0,0,72.9,0,1
3,0,1,1,1,0,4,49,5,1,0,0,0,159.3,0,1
2,1,1,3,1,0,1,77,5,1,0,0,0,135.15,1,0
1,0,0,2,1,0,1,22,10,0,0,0,0,90.0,0,0
2,0,1,0,0,0,1,0,10,1,0,0,0,114.0,0,0
2,1,0,1,1,1,1,58,6,1,0,0,0,125.1,1,0
2,0,2,6,0,0,1,4,8,1,0,0,0,95.13,1,0
2,0,0,2,1,0,5,117,4,1,0,0,0,105.84,0,1
2,0,1,3,1,0,1,36,12,1,0,0,0,102.0,0,1
2,0,2,2,0,0,1,35,12,1,0,0,0,74.8,2,0
2,0,1,0,0,0,1,31,4,1,0,0,0,94.5,0,1
2,0,2,4,0,0,1,79,6,1,0,0,0,120.6,0,0
2,0,1,2,1,0,1,1,10,1,0,0,0,139.33,0,0
2,0,0,2,1,0,1,21,9,1,0,0,0,105.0,0,0
2,0,0,2,0,0,1,12,9,2,0,0,0,100.0,1,0
2,0,1,0,1,0,1,33,2,1,0,0,0,80.3,1,0
1,0,0,2,1,0,1,164,10,0,0,0,0,100.0,0,0
2,0,0,3,1,1,1,78,3,1,0,0,0,105.3,1,0
2,0,0,4,1,0,4,18,5,1,0,0,0,112.8,0,1
2,0,1,2,1,0,1,21,8,1,0,0,0,151.0,0,1
1,0,1,3,1,0,1,0,11,1,0,0,0,91.0,1,0
3,0,2,1,1,0,4,152,8,1,0,0,0,146.7,1,1
2,0,2,3,1,0,1,43,10,0,0,0,0,58.4,0,0
2,0,0,4,0,0,1,177,7,1,0,0,0,80.75,1,1
2,0,1,1,0,0,1,47,5,0,0,0,0,76.5,0,0
3,0,0,3,1,0,4,57,9,1,0,0,0,140.13,0,0
2,0,2,4,0,0,1,60,11,1,0,0,0,76.0,1,0
2,0,0,1,1,0,1,0,9,1,0,0,0,200.0,0,0
2,0,0,2,2,0,1,102,10,1,0,0,0,101.5,0,1
2,0,0,3,0,0,1,71,10,1,0,0,0,108.0,1,0
3,0,2,3,2,0,4,111,7,1,0,0,0,189.0,1,0
3,0,1,1,1,0,4,1,6,1,0,0,0,166.0,3,0
2,0,1,1,0,0,1,4,1,1,0,0,0,67.5,0,0
2,0,1,3,1,0,4,25,9,1,0,0,0,78.54,1,0
1,0,2,2,1,0,1,209,11,1,0,0,0,152.1,1,1
1,0,2,1,1,0,1,93,10,1,0,0,0,115.0,0,1
2,0,2,5,0,0,1,53,9,1,0,0,0,66.53,2,0
1,0,0,2,1,0,1,1,8,4,1,0,1,0.0,1,0
1,0,2,1,1,0,1,4,8,4,0,0,0,0.0,1,0
2,0,0,3,1,0,1,302,12,1,0,0,0,90.3,2,1
2,0,0,2,1,0,1,122,4,0,0,0,0,85.0,0,0
1,0,0,1,1,0,1,16,3,2,0,0,0,75.0,0,0
2,0,2,4,1,0,1,28,8,1,0,0,0,115.37,1,1
2,0,1,2,2,0,1,161,3,1,0,0,0,130.0,0,1
3,0,0,2,1,0,4,57,12,1,0,0,0,126.0,2,0
2,0,1,0,1,0,1,19,6,1,0,0,0,94.35,1,0
3,0,2,4,1,0,4,109,7,1,0,0,0,118.46,4,0
1,0,0,2,2,0,1,239,6,1,0,0,0,90.6,0,1
1,0,2,1,1,0,1,33,3,1,0,0,0,82.9,2,0
2,0,0,3,1,0,1,11,8,1,0,0,0,95.33,1,0
3,0,2,5,1,0,4,40,4,1,0,0,0,135.64,1,0
3,0,1,1,1,0,4,45,6,0,0,0,0,122.4,0,0
2,0,1,3,0,0,1,41,5,1,0,0,0,116.1,0,1
2,0,0,4,0,0,1,167,6,1,0,0,0,62.18,0,1
2,0,0,4,0,0,1,62,3,1,0,0,0,63.75,0,1
1,0,1,4,1,0,1,113,9,1,0,0,0,118.8,0,1
2,0,0,2,0,1,1,1,8,1,0,0,0,167.0,0,0
2,2,2,2,1,0,6,84,5,1,0,0,0,187.85,1,0
0,2,2,2,1,0,1,68,4,1,0,0,0,108.38,1,1
2,0,0,1,1,0,2,9,9,4,1,0,3,0.0,1,0
3,0,1,2,1,0,1,245,10,1,0,0,0,128.7,0,1
2,0,1,3,1,0,1,80,3,1,0,0,0,80.33,1,0
2,0,1,1,1,0,1,7,8,1,0,0,0,140.0,1,1
2,1,1,1,1,0,1,128,8,1,0,0,0,76.5,2,0
2,0,2,1,1,0,1,100,5,1,0,0,0,105.3,1,0
2,0,2,1,1,0,1,118,4,1,0,0,0,87.3,1,1
1,0,0,3,1,0,1,166,11,1,0,0,0,110.0,0,1
1,0,0,1,2,0,1,41,9,0,0,0,0,83.0,0,0
2,0,2,2,1,0,1,174,8,1,0,0,0,99.45,1,0
2,1,2,1,2,0,1,27,12,0,0,0,0,104.5,3,0
2,0,2,6,1,0,1,2,11,1,0,0,0,92.54,2,0
1,0,0,3,1,0,1,37,10,0,0,0,0,95.0,0,0
1,0,0,2,1,0,1,188,6,1,0,0,0,130.0,0,1
2,0,2,1,1,0,1,68,1,0,1,1,0,63.0,1,0
2,0,1,2,1,0,4,189,10,1,0,0,0,109.8,0,1
2,0,1,0,1,0,1,10,5,1,0,0,0,103.0,0,0
3,0,2,1,1,0,4,19,2,1,0,0,0,130.0,1,0
2,0,0,2,1,0,1,61,3,1,0,0,0,117.0,0,1
2,0,0,4,1,0,4,95,12,0,0,0,0,60.5,0,0
2,0,0,1,2,0,1,83,9,0,0,0,0,112.2,0,0
2,0,1,3,1,0,1,37,8,1,0,0,0,135.9,0,1
2,0,1,0,1,0,1,19,7,1,0,0,0,151.0,1,1
2,2,0,2,1,0,6,22,9,1,0,0,0,239.0,2,0
2,0,2,1,1,0,1,22,12,1,0,0,0,59.09,0,0
2,0,2,5,1,0,1,151,7,1,0,0,0,103.09,0,1
2,0,2,1,1,0,1,26,2,0,0,0,0,87.0,0,0
3,0,1,0,1,0,4,27,4,1,0,0,0,137.0,0,1
2,0,0,2,2,0,1,79,6,0,0,0,0,109.0,0,0
2,0,1,1,2,0,1,247,6,1,0,0,0,115.0,1,1
2,0,2,3,1,0,4,189,7,1,0,0,0,99.45,1,0
2,0,0,2,2,0,1,320,8,1,0,0,0,115.0,1,1
3,0,1,2,1,0,4,27,2,1,0,0,0,130.0,2,0
1,0,1,0,1,0,1,51,5,2,1,0,3,65.0,0,0
2,0,0,2,1,0,1,245,6,1,0,0,0,75.0,0,1
2,1,1,2,1,0,1,52,7,1,0,0,0,132.9,0,1
1,0,2,0,1,0,1,13,10,1,0,0,0,120.0,0,0
2,0,0,2,0,0,1,46,11,1,0,0,0,79.2,1,1
3,0,2,1,1,0,4,84,8,1,0,0,0,159.3,0,1
1,0,0,2,1,0,1,188,6,1,0,0,0,130.0,0,1
2,0,0,3,1,0,1,19,10,0,1,1,0,90.0,0,0
2,0,0,2,1,0,4,67,5,1,0,0,0,140.4,1,0
2,0,0,1,1,0,1,0,8,1,0,0,0,75.0,0,0
2,0,0,2,2,0,1,273,7,1,0,0,0,109.0,0,1
2,0,2,1,2,0,1,110,7,1,0,0,0,94.5,0,1
1,0,0,1,1,0,1,0,12,2,1,0,1,75.0,0,0
2,0,1,2,1,0,4,32,10,0,0,0,0,75.0,1,0
2,0,2,1,1,0,1,282,10,0,0,0,0,76.67,0,0
2,0,2,2,1,0,1,38,10,1,0,0,0,126.0,0,0
2,0,1,1,0,0,1,175,7,1,0,0,0,85.5,1,0
2,0,0,3,1,0,4,143,8,1,0,0,0,140.7,0,1
2,0,2,2,1,0,4,127,6,1,0,0,0,103.7,1,0
1,0,0,1,1,0,1,0,9,1,0,0,0,142.0,0,0
2,1,2,5,1,0,1,95,12,1,0,0,0,103.7,3,0
1,0,1,2,1,0,1,118,6,0,0,0,0,110.0,0,0
2,0,0,3,1,0,1,45,11,0,0,0,0,75.0,0,0
3,0,1,1,1,0,4,69,7,1,0,0,0,137.7,0,0
2,0,0,1,0,0,1,57,9,1,0,0,0,87.3,3,0
1,0,0,2,1,0,1,5,8,4,1,0,4,0.0,4,0
2,0,0,2,2,0,1,39,8,0,0,0,0,101.5,0,0
2,0,0,1,1,0,1,0,2,1,0,0,0,97.0,1,0
3,0,1,1,1,0,4,89,8,1,0,0,0,150.3,1,0
2,0,0,4,1,0,1,85,3,1,0,0,0,82.45,0,0
1,0,0,1,1,1,4,4,7,2,1,0,3,103.0,1,0
1,0,2,6,1,0,1,11,7,1,0,0,0,145.0,0,1
1,0,1,1,1,0,1,12,7,1,0,0,0,145.0,1,0
2,0,2,2,1,0,4,77,5,1,0,0,0,134.85,1,0
2,1,1,1,1,0,6,14,10,1,0,0,0,168.25,1,0
1,0,2,1,1,0,1,1,2,1,0,0,0,60.0,0,1
2,0,1,3,1,0,1,133,6,0,0,0,0,76.0,0,0
2,0,1,2,1,0,1,3,8,0,0,0,0,63.5,1,0
2,0,2,0,1,0,1,19,9,0,0,0,0,95.0,0,0
2,0,2,2,1,0,4,86,9,0,0,0,0,90.95,3,0
2,0,0,2,1,0,1,23,10,1,0,0,0,98.4,2,0
2,0,0,1,1,0,1,65,9,1,0,0,0,135.9,1,0
2,0,0,2,1,0,4,1,11,1,0,0,0,130.0,1,0
2,0,0,1,1,0,4,66,11,1,0,0,0,81.9,2,0
3,0,1,4,1,0,1,50,2,1,0,0,0,78.85,1,0
2,0,2,3,2,0,1,87,6,1,0,0,0,141.3,0,1
2,0,1,1,1,0,1,159,4,0,0,0,0,70.0,1,0
2,0,2,3,2,0,1,39,8,1,0,0,0,170.1,2,0
2,0,2,0,2,0,1,386,10,1,0,0,0,115.0,1,1
2,2,0,5,1,0,6,22,12,1,0,0,0,199.0,0,0
2,0,2,2,1,0,4,102,7,0,0,0,0,82.45,0,0
4,0,0,3,1,0,7,86,10,1,0,0,0,192.86,1,0
2,0,2,2,1,0,1,56,9,0,0,0,0,185.0,0,0
2,0,2,6,1,0,1,36,12,1,0,0,0,68.07,1,0
2,0,0,3,1,0,1,50,10,1,0,0,0,118.8,1,0
2,0,0,2,1,0,4,115,10,1,0,0,0,104.4,0,1
1,0,0,1,1,0,1,0,3,2,1,0,12,65.0,0,0
2,0,1,3,0,0,1,35,3,1,0,0,0,71.1,0,1
2,0,2,1,1,0,1,17,5,0,0,0,0,95.0,0,0
2,0,4,11,1,0,4,237,9,1,0,0,0,116.62,1,1
2,0,0,4,1,0,1,125,9,1,0,0,0,136.0,2,0
2,2,2,2,1,0,6,32,12,1,0,0,0,147.9,0,1
2,0,2,0,0,0,1,5,9,0,0,0,0,123.7,0,0
2,0,2,1,1,0,1,91,6,1,0,0,0,135.9,0,1
2,0,0,2,2,0,1,102,10,0,0,0,0,109.0,0,0
3,0,2,1,1,0,4,9,3,1,0,0,0,186.0,1,0
3,0,1,3,1,0,4,155,12,1,0,0,0,115.6,1,1
2,2,0,1,1,0,6,0,5,1,0,0,0,221.0,0,1
1,0,0,3,1,0,1,11,9,2,0,0,0,65.0,0,0
1,0,0,1,1,0,1,0,2,2,0,0,0,80.0,0,0
2,1,1,4,1,0,1,86,3,0,0,0,0,73.83,0,0
1,0,0,1,1,1,1,18,10,2,1,3,19,67.0,0,0
2,0,0,2,1,0,1,58,3,1,0,0,0,80.3,1,0
2,0,2,1,0,0,1,54,4,0,0,0,0,85.0,0,0
2,1,2,3,1,0,1,25,7,1,0,0,0,152.1,1,1
2,0,0,2,1,0,1,107,9,1,0,0,0,89.25,1,0
1,0,0,4,2,0,1,100,9,0,0,0,0,110.0,0,0
2,0,1,2,1,0,1,273,5,1,0,0,0,95.0,0,1
2,0,0,1,0,0,1,29,3,1,0,0,0,79.0,0,0
2,0,0,1,1,0,1,221,8,1,0,0,0,80.0,0,1
2,0,2,2,1,0,1,213,10,1,0,0,0,102.85,2,1
2,0,1,2,1,0,1,198,9,1,0,0,0,90.0,0,1
